City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Vaini,TO,2022-05-23 18:20:42,-21.2,-175.2,75.36,100,20,3.44
68,Georgetown,MY,2022-05-23 18:16:17,5.4112,100.3354,82.33,92,20,3.44
69,Port Elizabeth,ZA,2022-05-23 18:20:43,-33.918,25.5701,61.11,88,0,5.75
70,Pindobacu,BR,2022-05-23 18:20:43,-10.7417,-40.3608,80.33,51,88,11.9
71,Mar Del Plata,AR,2022-05-23 18:18:55,-38.0023,-57.5575,64.09,69,75,4.0
72,Bredasdorp,ZA,2022-05-23 18:20:44,-34.5322,20.0403,58.1,85,99,5.35
73,Pundaguitan,PH,2022-05-23 18:20:45,6.3711,126.1689,82.83,74,18,5.88
74,Kalmunai,LK,2022-05-23 18:20:45,7.4167,81.8167,82.49,72,91,5.95
75,Quetame,CO,2022-05-23 18:20:46,4.3323,-73.8614,70.61,77,59,5.46
76,Sitka,US,2022-05-23 18:20:46,57.0531,-135.33,46.29,87,100,11.5
77,Saldanha,ZA,2022-05-23 18:20:47,-33.0117,17.9442,59.05,88,47,5.21
78,Hun,LY,2022-05-23 18:20:47,29.1268,15.9477,88.65,9,0,9.31
79,East London,ZA,2022-05-23 18:20:49,-33.0153,27.9116,63.54,82,0,5.75
80,Havoysund,NO,2022-05-23 18:20:49,70.9963,24.6622,48.43,71,40,12.1
81,Okhotsk,RU,2022-05-23 18:20:50,59.3833,143.3,32.54,89,99,5.5
82,Norman Wells,CA,2022-05-23 18:20:51,65.282,-126.8329,46.44,61,75,4.61
83,Ngunguru,NZ,2022-05-23 18:20:51,-35.6167,174.5,56.41,67,67,6.44
84,Ponta Do Sol,PT,2022-05-23 18:20:52,32.6667,-17.1,71.71,70,14,3.42
85,Batagay-Alyta,RU,2022-05-23 18:20:52,67.8006,130.4114,29.93,86,73,3.58
86,Guerrero Negro,MX,2022-05-23 18:20:53,27.9769,-114.0611,66.61,58,25,11.5
87,Butaritari,KI,2022-05-23 18:20:54,3.0707,172.7902,81.7,80,100,13.78
88,Kimbe,PG,2022-05-23 18:20:54,-5.5502,150.1429,75.49,92,55,2.77
89,Benguela,AO,2022-05-23 18:20:55,-12.5763,13.4055,72.48,78,0,5.46
90,Fortuna,US,2022-05-23 18:20:55,40.5982,-124.1573,58.86,88,75,12.66
91,Waingapu,ID,2022-05-23 18:20:56,-9.6567,120.2641,77.05,85,8,5.3
92,Saint-Philippe,RE,2022-05-23 18:20:57,-21.3585,55.7679,72.99,85,41,12.5
93,Hilo,US,2022-05-23 18:20:57,19.7297,-155.09,81.28,82,75,5.75
94,Irbit,RU,2022-05-23 18:21:58,57.6705,63.071,43.32,94,94,5.57
95,Jeremie,HT,2022-05-23 18:21:58,18.65,-74.1167,84.22,66,72,5.37
96,Itarema,BR,2022-05-23 18:21:58,-2.9248,-39.9167,82.99,75,77,6.71
97,Tessalit,ML,2022-05-23 18:21:59,20.1986,1.0114,97.34,16,1,12.75
98,Chokurdakh,RU,2022-05-23 18:21:59,70.6333,147.9167,31.98,95,100,1.34
99,Sergeyevka,KZ,2022-05-23 18:22:00,53.88,67.4158,64.11,51,64,17.96
100,Lasa,IT,2022-05-23 18:22:01,46.6166,10.7002,72.48,81,84,5.66
101,Alto Araguaia,BR,2022-05-23 18:22:01,-17.3147,-53.2153,80.26,27,22,4.34
102,Port Alfred,ZA,2022-05-23 18:22:06,-33.5906,26.891,62.28,76,18,2.26
103,Adrar,MR,2022-05-23 18:22:07,20.5022,-10.0711,103.41,8,53,9.15
104,Anadyr,RU,2022-05-23 18:22:07,64.75,177.4833,52.3,54,0,4.47
105,Baillif,GP,2022-05-23 18:22:08,16.0202,-61.7463,85.64,74,49,13.15
106,Ucluelet,CA,2022-05-23 18:22:08,48.9329,-125.5528,55.71,82,83,1.99
107,Mahajanga,MG,2022-05-23 18:22:09,-15.7167,46.3167,73.42,94,20,3.44
108,Ixtapa,MX,2022-05-23 18:22:10,20.7,-105.2,79.83,65,0,13.8
109,North Branch,US,2022-05-23 18:22:11,45.5113,-92.9802,65.98,37,5,1.01
110,Bastos,BR,2022-05-23 18:22:11,-21.9219,-50.7339,79.18,26,3,1.45
111,Kichera,RU,2022-05-23 18:22:12,55.9375,110.0997,47.37,69,73,4.05
112,Roald,NO,2022-05-23 18:22:12,62.5833,6.1333,58.33,67,75,12.66
113,Mitu,CO,2022-05-23 18:22:13,1.1983,-70.1733,88.39,51,29,4.16
114,Hasaki,JP,2022-05-23 18:22:14,35.7333,140.8333,54.28,76,84,2.42
115,Siniscola,IT,2022-05-23 18:22:14,40.5719,9.6922,76.55,69,43,6.06
116,Crotone,IT,2022-05-23 18:22:15,39.0851,17.1178,75.15,60,0,6.91
117,Anderson,US,2022-05-23 18:20:02,34.5334,-82.6499,71.17,96,100,11.5
118,Atuona,PF,2022-05-23 18:22:15,-9.8,-139.0333,78.94,74,15,19.3
119,Mehamn,NO,2022-05-23 18:22:15,71.0357,27.8492,44.51,74,21,8.93
120,Noumea,NC,2022-05-23 18:22:16,-22.2763,166.4572,75.0,99,100,10.18
121,Macia,MZ,2022-05-23 18:22:17,-25.0269,33.0989,62.87,97,99,8.46
122,Port Blair,IN,2022-05-23 18:22:18,11.6667,92.75,82.83,83,97,21.36
123,Acarau,BR,2022-05-23 18:22:18,-2.8856,-40.12,81.88,76,89,3.67
124,Ribeira Grande,PT,2022-05-23 18:22:19,38.5167,-28.7,64.8,88,75,14.97
125,Avera,US,2022-05-23 18:22:20,33.194,-82.5271,80.11,82,100,7.76
126,Nanortalik,GL,2022-05-23 18:22:20,60.1432,-45.2371,35.98,81,90,17.11
127,Elko,US,2022-05-23 18:22:21,41.0002,-115.5012,59.65,16,58,4.0
128,Tarakan,ID,2022-05-23 18:22:22,3.3,117.6333,78.71,78,92,5.3
129,Santa Isabel Do Rio Negro,BR,2022-05-23 18:22:22,-0.4139,-65.0192,84.74,68,83,5.21
130,Izumo,JP,2022-05-23 18:22:23,35.3667,132.7667,57.15,48,91,5.23
131,Ciudad Bolivar,VE,2022-05-23 18:22:24,8.1222,-63.5497,83.25,59,100,7.49
132,Iracoubo,GF,2022-05-23 18:22:24,5.4802,-53.2011,81.39,74,31,6.17
133,Odweyne,SO,2022-05-23 18:22:25,9.4092,45.064,85.77,16,71,7.99
134,Marsabit,KE,2022-05-23 18:22:25,2.3284,37.9899,72.57,48,2,13.76
135,Hamilton,US,2022-05-23 18:22:04,39.1834,-84.5333,64.49,67,100,9.22
136,San Julian,MX,2022-05-23 18:22:26,21.0167,-102.1667,82.8,19,44,9.89
137,Dikson,RU,2022-05-23 18:22:27,73.5069,80.5464,18.05,89,10,7.63
138,Great Yarmouth,GB,2022-05-23 18:17:29,52.6083,1.7305,59.41,97,100,2.08
139,San Quintin,MX,2022-05-23 18:22:27,30.4833,-115.95,63.63,65,82,11.18
140,Samana,DO,2022-05-23 18:23:28,19.2056,-69.3369,89.82,62,40,11.5
141,Rabo De Peixe,PT,2022-05-23 18:23:29,37.8,-25.5833,67.28,87,75,8.05
142,Banjar,ID,2022-05-23 18:23:29,-8.19,114.9675,76.8,86,42,4.56
143,Wuwei,CN,2022-05-23 18:23:30,37.9281,102.6414,67.41,31,97,7.96
144,Nampula,MZ,2022-05-23 18:23:30,-15.1165,39.2666,73.35,88,0,8.05
