City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Ilulissat,GL,69.2167,-51.1,37.42,48,75,12.66,broken clouds
81,Sola,VU,-13.8833,167.55,81.23,72,48,11.88,scattered clouds
82,Kahului,US,20.8947,-156.47,82.42,59,40,17.27,scattered clouds
83,Kodiak,US,57.79,-152.4072,54.91,67,0,8.05,clear sky
84,Maningrida,AU,-12.0667,134.2667,82.2,46,100,9.42,overcast clouds
85,Cape Town,ZA,-33.9258,18.4232,61.21,95,100,4.61,fog
86,Santa Fe,AR,-31.6333,-60.7,55.02,81,96,8.01,light rain
87,Saskylakh,RU,71.9167,114.0833,27.19,90,92,6.73,overcast clouds
88,Bluff,NZ,-46.6,168.3333,49.8,62,42,4.36,scattered clouds
89,Guerrero Negro,MX,27.9769,-114.0611,67.35,66,0,16.64,clear sky
90,Geraldton,AU,-28.7667,114.6,66.61,63,6,12.66,clear sky
91,East London,ZA,-33.0153,27.9116,63.57,74,96,14.52,overcast clouds
92,Husavik,IS,66.0449,-17.3389,42.84,93,100,9.04,overcast clouds
93,Namibe,AO,-15.1961,12.1522,66.88,71,0,7.99,clear sky
94,Haines Junction,CA,60.7522,-137.5108,57.15,28,94,8.05,overcast clouds
95,Jutai,BR,-5.1833,-68.9,74.07,94,32,2.59,heavy intensity rain
96,Puerto Ayora,EC,-0.7393,-90.3518,71.55,95,16,3.0,few clouds
97,Zeya,RU,53.75,127.2667,70.97,40,15,3.74,few clouds
98,Faanui,PF,-16.4833,-151.75,80.74,69,0,12.39,clear sky
99,Ierapetra,GR,35.01,25.7353,69.15,67,0,1.01,clear sky
100,Moose Factory,CA,51.2585,-80.6094,42.8,65,20,6.91,few clouds
101,Vanderhoof,CA,54.0166,-124.0198,59.65,48,14,3.33,few clouds
102,Yulara,AU,-25.2406,130.9889,67.3,44,5,13.96,clear sky
103,Atuona,PF,-9.8,-139.0333,78.51,73,7,19.13,clear sky
104,Airai,TL,-8.9266,125.4092,69.58,68,85,3.47,overcast clouds
105,Nikolskoye,RU,59.7035,30.7861,39.78,89,100,5.19,overcast clouds
106,Coihaique,CL,-45.5752,-72.0662,31.95,86,20,5.75,few clouds
107,Naze,JP,28.3667,129.4833,76.12,80,88,6.38,overcast clouds
108,Ryotsu,JP,38.0833,138.4333,70.14,62,100,5.46,overcast clouds
109,Pendleton,US,45.6721,-118.7886,76.6,45,0,12.66,clear sky
110,Pisco,PE,-13.7,-76.2167,62.65,88,100,5.75,mist
111,Pundaguitan,PH,6.3711,126.1689,79.59,78,100,2.39,overcast clouds
