City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
266,Karaton,ID,75.92,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
270,Mahina,PF,85.77,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
274,Sao Raimundo Nonato,BR,76.06,overcast clouds,-9.0153,-42.6994,Real Hotel
275,Zhaoqing,CN,81.82,overcast clouds,23.0512,112.4597,七星岩旅游度假区
277,Victoria,HK,84.38,broken clouds,22.2855,114.1577,Mini Central
285,Wajima,JP,77.68,broken clouds,37.4,136.9,Wajiima Onsen Yashio
286,Samarai,PG,81.57,broken clouds,-10.6167,150.6667,Nuli Sapi
290,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
292,Shache,CN,80.15,scattered clouds,38.4167,77.2406,Delong Hotel
293,Haikou,CN,84.33,clear sky,20.0458,110.3417,Sun City Restaurant
295,Kununurra,AU,87.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
301,Labuhan,ID,81.9,overcast clouds,-6.8844,112.2051,DoubleFAG
308,Kiunga,PG,88.16,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
314,Sadri,IN,82.92,clear sky,25.1833,73.4333,Chandra Hill Resort
317,Arlit,NE,85.86,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
320,Boca Do Acre,BR,77.9,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
331,Ayorou,NE,88.07,overcast clouds,14.7308,0.9174,Hotel Amenokal
335,Sakaiminato,JP,78.78,broken clouds,35.55,133.2333,Italian pasley
338,Itarema,BR,76.23,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
340,Namatanai,PG,84.25,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
351,Sibu,MY,79.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
354,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
356,Kalanwali,IN,89.49,clear sky,29.85,74.95,Taj Palace
358,Finschhafen,PG,85.23,broken clouds,-6.6024,147.8681,Cossam Guest House
360,Buala,SB,84.15,light rain,-8.145,159.5921,Maringe Lagoon Lodge
369,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
370,Bengkulu,ID,78.78,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
376,San Ignacio,BZ,78.94,clear sky,17.1561,-89.0714,Rainforest Haven Inn
379,Jibuti,DJ,82.83,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
382,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
389,Hirara,JP,75.47,heavy intensity shower rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
394,Sao Jose Da Coroa Grande,BR,75.88,light rain,-8.8978,-35.1478,Crôa Mares Hotel
396,Port Keats,AU,89.11,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
402,Koumac,NC,79.0,scattered clouds,-20.5667,164.2833,Le Monitel
404,Cairns,AU,84.11,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
415,Catio,GW,78.53,overcast clouds,11.2833,-15.25,Pausada Morabedja
419,Kavieng,PG,83.71,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
420,Umm Lajj,SA,79.14,clear sky,25.0213,37.2685,Moon light Furnished Units
422,Mankera,PK,88.97,clear sky,31.3866,71.4407,Haider Wood Supplier
425,Ishigaki,JP,77.13,thunderstorm,24.3448,124.1572,Hotel Peace Land Ishigakijima
428,Mareeba,AU,79.48,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
430,Boa Vista,BR,80.58,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
433,Katherine,AU,84.52,few clouds,-14.4667,132.2667,Pine Tree Motel
447,Mikuni,JP,82.31,overcast clouds,36.2171,136.1519,Seifuso
450,Ahuimanu,US,83.91,clear sky,21.4447,-157.8378,Paradise Bay Resort
451,Mastung,PK,75.0,clear sky,29.7994,66.845,Al Hasnan Cold Drink Santer
455,Ilheus,BR,80.42,scattered clouds,-14.7889,-39.0494,Barravento Hotel
458,Cayenne,GF,82.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
460,Hami,CN,86.63,overcast clouds,42.8,93.45,Laoyutang Resort
465,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
469,Myitkyina,MM,76.96,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
470,Kudahuvadhoo,MV,82.69,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
472,Mitsamiouli,KM,79.2,clear sky,-11.3847,43.2844,Foyer ADM
478,Riyadh,SA,80.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
479,Awjilah,LY,81.37,clear sky,29.1081,21.2869,المنزل
490,Machiques,VE,78.93,overcast clouds,10.0644,-72.545,hotel el markes
496,Pringsewu,ID,77.32,overcast clouds,-5.3582,104.9744,Urban Style by Front One
502,Dong Hoi,VN,84.7,overcast clouds,17.4833,106.6,Nam Long Hotel
503,Kirakira,SB,84.96,scattered clouds,-10.4544,161.9205,SanBiz Lodge
505,Sakakah,SA,76.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
506,Sardarshahr,IN,87.49,clear sky,28.4333,74.4833,Hotel Moti Mahal
509,Pipri,IN,77.58,scattered clouds,19.8,75.5333,Sukhana River nilu and rushi home
514,The Valley,AI,80.82,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
522,Bahile,PH,87.67,overcast clouds,9.9995,118.7878,Nitivos Beach Resort
523,Sapouy,BF,78.91,broken clouds,11.5544,-1.7736,Auberge St Louis
525,Morro Bay,US,76.93,broken clouds,35.3658,-120.8499,Inn at Morro Bay
526,Tamandare,BR,75.49,light rain,-8.7597,-35.1047,Pousada 100 Passos
527,Anantapur,IN,84.61,few clouds,14.6833,77.6,Hotel Gpr grand
534,Riohacha,CO,82.02,scattered clouds,11.5444,-72.9072,Hotel Taroa
538,Charters Towers,AU,76.96,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
542,Mormugao,IN,79.86,scattered clouds,15.4,73.8,Coconut Creek Resort
548,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
554,Cabo San Lucas,MX,80.91,clear sky,22.8909,-109.9124,Vista Roof Restaurant
557,Labrea,BR,78.19,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
559,San-Pedro,CI,77.59,overcast clouds,4.7485,-6.6363,Hotel Maria
560,Harper,LR,77.61,overcast clouds,4.375,-7.7169,Screensaver
561,Lucea,JM,82.26,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
562,Belmopan,BZ,79.18,overcast clouds,17.25,-88.7667,Villa San Juan
563,Moroni,KM,77.88,clear sky,-11.7022,43.2551,Hotel les Arcades
566,Birnin Kebbi,NG,88.47,broken clouds,12.4539,4.1975,Saffar Guest Inn Ltd
573,Miraflores,MX,79.45,overcast clouds,19.2167,-98.8083,Hotel Mansión
578,Martaban,MM,81.66,overcast clouds,16.5314,97.6111,Lu Wa Gyi Guest House
589,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
592,Japura,ID,76.89,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
596,Jonuta,MX,79.84,broken clouds,18.0833,-92.1333,Hotel There
